Python,SQL,ML,React,Docker,Career
0,10,0,8,8,Backend Developer
7,1,7,6,7,ML Engineer
4,2,0,3,1,Full Stack Developer
8,2,6,6,2,Full Stack Developer
0,1,1,2,5,Full Stack Developer
10,5,8,7,7,ML Engineer
7,9,10,5,2,ML Engineer
8,5,4,2,2,Full Stack Developer
5,4,8,2,10,Full Stack Developer
6,1,7,0,5,Full Stack Developer
6,7,3,4,1,Full Stack Developer
0,4,5,3,6,Full Stack Developer
9,1,6,0,7,Full Stack Developer
10,6,2,3,3,Full Stack Developer
0,10,1,4,6,Backend Developer
8,9,10,4,3,ML Engineer
0,9,6,9,4,Data Scientist
0,9,10,10,3,Data Scientist
7,0,10,7,1,ML Engineer
2,5,7,8,6,Full Stack Developer
7,7,3,4,4,Full Stack Developer
3,7,4,10,2,Full Stack Developer
9,5,0,9,10,Frontend Developer
10,9,8,2,7,ML Engineer
10,5,2,6,6,Full Stack Developer
2,8,0,8,0,Full Stack Developer
10,7,9,6,4,ML Engineer
3,1,5,7,10,Full Stack Developer
6,0,0,10,3,Frontend Developer
4,4,9,2,10,Full Stack Developer
1,10,3,8,0,Full Stack Developer
9,9,9,8,5,ML Engineer
9,1,8,1,1,ML Engineer
3,9,0,6,0,Full Stack Developer
5,7,9,9,7,Data Scientist
7,3,7,5,4,ML Engineer
5,4,8,0,7,Full Stack Developer
0,6,0,5,9,Full Stack Developer
7,8,1,2,3,Full Stack Developer
9,3,4,1,10,Full Stack Developer
10,9,2,1,0,Full Stack Developer
5,0,4,5,2,Full Stack Developer
9,9,6,2,10,Data Scientist
9,2,9,9,0,ML Engineer
9,0,2,4,9,Full Stack Developer
8,7,4,2,8,Backend Developer
9,10,4,6,8,Backend Developer
2,3,10,6,7,Full Stack Developer
5,6,4,1,0,Full Stack Developer
3,6,7,3,0,Full Stack Developer
9,6,3,10,3,Frontend Developer
5,3,9,9,6,Frontend Developer
6,5,6,7,7,Frontend Developer
3,7,6,1,3,Data Scientist
4,5,0,7,0,Full Stack Developer
1,1,0,7,7,Full Stack Developer
3,2,3,2,5,Full Stack Developer
5,5,6,7,7,Frontend Developer
10,0,9,5,4,ML Engineer
2,2,3,2,9,Full Stack Developer
5,10,7,0,8,Data Scientist
9,6,1,7,6,Frontend Developer
4,2,3,6,10,Full Stack Developer
4,0,3,9,7,Full Stack Developer
2,10,8,3,2,Data Scientist
10,0,6,2,7,Full Stack Developer
0,1,2,7,1,Full Stack Developer
3,0,6,10,9,Full Stack Developer
9,2,2,7,5,Frontend Developer
8,10,8,6,0,ML Engineer
6,9,2,7,2,Frontend Developer
10,5,7,3,9,ML Engineer
9,10,3,9,5,Frontend Developer
5,3,5,5,1,Full Stack Developer
10,4,1,5,3,Full Stack Developer
2,1,10,5,1,Full Stack Developer
9,3,0,5,4,Full Stack Developer
9,10,10,10,7,ML Engineer
5,1,8,10,8,Frontend Developer
2,8,8,5,9,Data Scientist
3,3,3,6,8,Full Stack Developer
3,1,4,8,10,Full Stack Developer
2,9,0,8,1,Full Stack Developer
6,2,3,0,0,Full Stack Developer
7,1,7,6,3,ML Engineer
8,0,2,8,4,Frontend Developer
10,5,4,9,9,Frontend Developer
2,0,4,6,1,Full Stack Developer
2,4,7,7,1,Full Stack Developer
1,4,3,2,3,Full Stack Developer
4,6,6,8,1,Full Stack Developer
9,6,1,6,2,Full Stack Developer
10,3,3,6,4,Full Stack Developer
4,0,8,2,7,Full Stack Developer
3,7,3,10,9,Backend Developer
1,5,3,8,2,Full Stack Developer
1,5,9,2,1,Full Stack Developer
8,10,1,2,7,Backend Developer
8,7,9,2,5,ML Engineer
8,1,4,1,10,Full Stack Developer
4,7,10,5,7,Data Scientist
10,1,4,10,1,Frontend Developer
8,6,6,1,1,Full Stack Developer
9,0,3,4,5,Full Stack Developer
1,1,10,3,7,Full Stack Developer
6,1,9,6,2,Full Stack Developer
6,4,6,9,3,Frontend Developer
8,7,10,9,3,ML Engineer
8,0,8,6,4,ML Engineer
0,5,5,0,0,Full Stack Developer
10,3,0,7,2,Frontend Developer
3,8,7,3,10,Data Scientist
0,9,3,7,5,Backend Developer
10,9,8,6,1,ML Engineer
6,7,7,0,1,Data Scientist
6,1,10,7,9,Frontend Developer
4,1,9,8,6,Full Stack Developer
0,9,3,1,1,Full Stack Developer
10,3,1,3,7,Full Stack Developer
3,0,5,1,2,Full Stack Developer
7,5,2,1,8,Full Stack Developer
3,6,3,2,0,Full Stack Developer
2,6,6,8,3,Full Stack Developer
5,4,9,7,3,Frontend Developer
1,5,3,8,4,Full Stack Developer
1,8,9,0,8,Data Scientist
6,2,7,10,10,Frontend Developer
9,7,1,9,6,Frontend Developer
9,2,8,4,4,ML Engineer
3,1,2,3,4,Full Stack Developer
10,4,7,4,2,ML Engineer
3,1,3,1,6,Full Stack Developer
0,3,2,7,2,Full Stack Developer
7,9,3,2,7,Backend Developer
7,9,1,2,0,Full Stack Developer
10,2,8,9,3,ML Engineer
3,10,6,3,10,Data Scientist
3,3,3,0,10,Full Stack Developer
5,6,9,4,10,Full Stack Developer
5,1,5,9,6,Frontend Developer
1,6,4,2,8,Full Stack Developer
5,7,10,9,2,Data Scientist
0,10,4,9,10,Backend Developer
2,10,8,5,9,Data Scientist
1,10,9,4,7,Data Scientist
6,10,1,8,8,Frontend Developer
8,6,3,7,0,Frontend Developer
7,4,5,4,5,Full Stack Developer
9,8,4,2,4,Full Stack Developer
7,6,6,0,10,Full Stack Developer
0,7,0,3,3,Full Stack Developer
1,6,2,9,10,Full Stack Developer
10,8,2,2,3,Full Stack Developer
2,10,0,7,3,Full Stack Developer
4,6,2,5,2,Full Stack Developer
4,10,9,1,4,Data Scientist
3,3,8,2,8,Full Stack Developer
3,1,5,8,7,Full Stack Developer
7,10,8,6,6,ML Engineer
7,4,8,3,4,ML Engineer
0,10,0,6,10,Backend Developer
1,3,1,10,3,Full Stack Developer
2,4,4,6,6,Full Stack Developer
10,9,3,8,1,Frontend Developer
8,4,9,0,2,ML Engineer
0,7,7,9,7,Data Scientist
9,5,10,6,10,ML Engineer
10,4,4,7,3,Frontend Developer
5,7,8,1,9,Data Scientist
9,9,3,4,1,Full Stack Developer
9,4,5,1,3,Full Stack Developer
8,5,0,8,2,Frontend Developer
0,0,0,1,1,Full Stack Developer
1,1,5,5,7,Full Stack Developer
4,0,4,4,10,Full Stack Developer
5,7,1,4,5,Backend Developer
4,9,10,2,2,Data Scientist
7,4,9,1,6,ML Engineer
7,9,6,0,0,Data Scientist
0,5,4,2,9,Full Stack Developer
4,1,5,9,9,Full Stack Developer
5,9,6,10,8,Data Scientist
2,8,8,0,10,Data Scientist
4,9,0,7,8,Backend Developer
1,4,10,0,6,Full Stack Developer
5,10,6,7,7,Data Scientist
4,3,3,5,3,Full Stack Developer
3,7,4,0,2,Full Stack Developer
2,2,10,9,7,Full Stack Developer
0,0,4,0,5,Full Stack Developer
2,10,10,5,0,Data Scientist
10,5,1,6,6,Full Stack Developer
10,4,9,0,9,ML Engineer
8,3,2,0,7,Full Stack Developer
8,2,7,2,3,ML Engineer
4,1,9,6,0,Full Stack Developer
4,5,1,4,9,Full Stack Developer
8,4,10,0,6,ML Engineer
7,3,8,8,8,ML Engineer
6,0,7,8,9,Frontend Developer
9,0,10,3,8,ML Engineer
0,3,3,7,9,Full Stack Developer
3,6,3,6,9,Full Stack Developer
0,0,6,0,7,Full Stack Developer
10,10,7,6,2,ML Engineer
3,9,10,6,7,Data Scientist
6,9,9,5,2,Data Scientist
8,5,2,1,10,Full Stack Developer
10,2,5,4,3,Full Stack Developer
5,0,2,2,7,Full Stack Developer
8,6,6,3,5,Full Stack Developer
10,6,4,5,3,Full Stack Developer
5,1,2,6,2,Full Stack Developer
4,1,4,9,6,Full Stack Developer
5,3,0,9,0,Frontend Developer
0,4,10,5,2,Full Stack Developer
7,2,9,0,1,ML Engineer
5,2,8,10,0,Frontend Developer
6,1,2,0,0,Full Stack Developer
1,0,2,1,2,Full Stack Developer
3,7,0,8,1,Full Stack Developer
1,6,8,4,2,Full Stack Developer
2,5,7,10,9,Full Stack Developer
0,8,7,4,0,Data Scientist
4,2,8,1,1,Full Stack Developer
10,3,6,0,9,Full Stack Developer
2,3,3,4,9,Full Stack Developer
2,3,1,1,3,Full Stack Developer
3,4,6,2,6,Full Stack Developer
0,9,8,5,10,Data Scientist
1,1,7,6,9,Full Stack Developer
2,0,4,1,4,Full Stack Developer
7,5,0,7,1,Frontend Developer
3,7,0,2,5,Backend Developer
10,9,2,7,5,Frontend Developer
1,2,8,6,7,Full Stack Developer
1,1,5,5,0,Full Stack Developer
1,9,6,5,10,Data Scientist
6,4,6,0,4,Full Stack Developer
7,9,5,0,6,Data Scientist
7,10,1,0,4,Full Stack Developer
4,1,2,2,10,Full Stack Developer
1,10,1,1,4,Full Stack Developer
4,10,3,8,8,Backend Developer
5,0,6,7,3,Frontend Developer
7,3,8,9,6,ML Engineer
10,4,4,7,10,Frontend Developer
5,6,5,8,8,Frontend Developer
2,3,10,4,0,Full Stack Developer
9,9,5,0,5,Data Scientist
10,4,4,3,6,Full Stack Developer
1,7,0,3,4,Full Stack Developer
7,9,8,1,4,ML Engineer
7,6,7,1,4,ML Engineer
1,9,10,3,7,Data Scientist
0,2,9,7,8,Full Stack Developer
3,9,10,0,9,Data Scientist
9,3,3,9,10,Frontend Developer
5,5,0,2,9,Full Stack Developer
8,7,5,8,2,Data Scientist
4,0,4,5,5,Full Stack Developer
0,1,5,4,9,Full Stack Developer
10,8,5,0,8,Data Scientist
9,1,3,5,0,Full Stack Developer
8,2,3,0,5,Full Stack Developer
7,9,5,5,1,Data Scientist
10,10,2,4,7,Backend Developer
1,4,2,3,2,Full Stack Developer
5,8,0,10,10,Frontend Developer
9,7,6,10,8,Data Scientist
8,1,2,7,0,Frontend Developer
9,3,9,5,8,ML Engineer
3,3,8,10,10,Full Stack Developer
7,7,5,9,8,Data Scientist
3,7,2,9,7,Backend Developer
1,1,8,0,10,Full Stack Developer
5,5,7,0,10,Full Stack Developer
9,8,7,3,9,ML Engineer
0,10,9,8,7,Data Scientist
1,6,1,4,2,Full Stack Developer
5,10,4,10,9,Frontend Developer
2,4,0,4,0,Full Stack Developer
4,0,1,8,4,Full Stack Developer
8,0,1,2,7,Full Stack Developer
1,2,7,8,4,Full Stack Developer
3,1,10,3,6,Full Stack Developer
8,0,6,6,4,Full Stack Developer
7,10,4,4,4,Full Stack Developer
6,10,0,9,9,Frontend Developer
6,3,7,3,8,Full Stack Developer
9,10,6,8,5,Data Scientist
6,5,0,0,2,Full Stack Developer
7,2,4,4,10,Full Stack Developer
6,9,10,5,6,Data Scientist
10,2,5,0,5,Full Stack Developer
2,1,1,1,7,Full Stack Developer
3,8,2,3,2,Full Stack Developer
2,3,0,8,5,Full Stack Developer
7,4,9,8,3,ML Engineer
10,6,1,9,4,Frontend Developer
6,7,5,5,7,Data Scientist
5,5,3,7,9,Frontend Developer
4,10,9,2,2,Data Scientist
8,4,2,2,1,Full Stack Developer
3,7,6,3,10,Data Scientist
8,2,3,6,3,Full Stack Developer
0,10,2,7,3,Full Stack Developer
10,4,8,2,8,ML Engineer
3,8,8,9,5,Data Scientist
4,1,8,7,5,Full Stack Developer
9,4,6,0,4,Full Stack Developer
8,7,9,0,2,ML Engineer
5,0,8,3,9,Full Stack Developer
5,1,6,6,10,Full Stack Developer
7,2,6,6,8,Full Stack Developer
3,8,0,0,4,Full Stack Developer
4,8,0,7,9,Backend Developer
8,8,9,1,9,ML Engineer
5,8,2,7,1,Frontend Developer
9,8,3,1,9,Backend Developer
9,4,3,7,7,Frontend Developer
5,1,10,3,8,Full Stack Developer
7,10,7,2,10,ML Engineer
7,6,2,2,1,Full Stack Developer
10,6,10,4,0,ML Engineer
1,7,3,9,9,Backend Developer
9,3,10,5,4,ML Engineer
6,5,5,5,5,Full Stack Developer
6,1,6,7,1,Frontend Developer
4,1,0,8,1,Full Stack Developer
8,3,0,8,9,Frontend Developer
7,10,8,9,3,ML Engineer
6,9,5,1,6,Data Scientist
8,7,9,3,10,ML Engineer
5,5,3,7,5,Frontend Developer
8,10,2,6,6,Backend Developer
6,10,1,2,7,Backend Developer
1,3,0,4,5,Full Stack Developer
8,3,7,0,5,ML Engineer
10,9,6,8,10,Data Scientist
1,8,4,7,6,Backend Developer
8,2,8,2,9,ML Engineer
3,8,8,1,9,Data Scientist
3,4,10,3,8,Full Stack Developer
4,10,10,2,9,Data Scientist
0,2,3,9,0,Full Stack Developer
2,10,2,9,6,Backend Developer
7,1,1,9,3,Frontend Developer
7,6,2,4,0,Full Stack Developer
3,2,8,5,7,Full Stack Developer
5,3,5,10,8,Frontend Developer
6,2,8,3,3,Full Stack Developer
6,0,1,2,4,Full Stack Developer
4,5,0,5,10,Full Stack Developer
7,8,4,7,7,Frontend Developer
4,2,5,5,6,Full Stack Developer
5,8,7,2,10,Data Scientist
4,0,1,2,10,Full Stack Developer
10,7,1,4,10,Backend Developer
3,6,7,0,1,Full Stack Developer
1,8,4,3,6,Backend Developer
1,1,0,2,4,Full Stack Developer
0,9,8,3,6,Data Scientist
9,2,7,3,5,ML Engineer
8,9,9,2,2,ML Engineer
10,7,5,1,7,Data Scientist
10,4,1,4,6,Full Stack Developer
6,2,5,1,9,Full Stack Developer
8,6,6,7,8,Frontend Developer
5,3,9,7,0,Frontend Developer
7,8,6,5,7,Data Scientist
2,4,6,8,2,Full Stack Developer
1,8,4,1,1,Full Stack Developer
1,8,2,2,7,Backend Developer
0,9,7,3,3,Data Scientist
4,8,9,0,7,Data Scientist
8,7,4,3,5,Backend Developer
8,6,0,3,3,Full Stack Developer
10,1,6,5,2,Full Stack Developer
9,7,5,4,8,Data Scientist
4,0,5,5,8,Full Stack Developer
3,7,3,0,3,Full Stack Developer
2,1,5,4,5,Full Stack Developer
6,5,7,4,5,Full Stack Developer
6,4,2,1,8,Full Stack Developer
7,0,0,10,2,Frontend Developer
10,9,10,6,9,ML Engineer
3,10,9,2,6,Data Scientist
4,4,10,5,6,Full Stack Developer
3,4,1,3,9,Full Stack Developer
5,7,0,2,1,Full Stack Developer
8,7,5,6,1,Data Scientist
7,10,10,7,5,ML Engineer
7,6,8,9,6,ML Engineer
3,10,9,2,7,Data Scientist
4,10,8,9,9,Data Scientist
0,7,9,8,10,Data Scientist
1,9,4,1,4,Full Stack Developer
5,5,4,1,8,Full Stack Developer
3,10,1,0,5,Backend Developer
9,10,8,0,7,ML Engineer
7,10,9,0,5,ML Engineer
3,8,0,3,3,Full Stack Developer
1,7,8,7,7,Data Scientist
2,7,8,3,9,Data Scientist
1,0,6,5,0,Full Stack Developer
1,6,4,6,0,Full Stack Developer
0,10,2,4,5,Backend Developer
3,1,3,5,9,Full Stack Developer
5,9,9,8,10,Data Scientist
10,9,1,10,9,Frontend Developer
9,2,3,3,9,Full Stack Developer
7,0,6,8,10,Frontend Developer
2,7,6,2,10,Data Scientist
10,4,10,10,8,ML Engineer
4,1,9,1,3,Full Stack Developer
0,9,1,9,4,Full Stack Developer
9,10,6,0,5,Data Scientist
10,4,2,7,0,Frontend Developer
0,1,2,6,4,Full Stack Developer
9,3,4,3,4,Full Stack Developer
6,8,8,8,1,Data Scientist
6,10,4,4,4,Full Stack Developer
6,6,5,6,7,Full Stack Developer
4,0,4,1,10,Full Stack Developer
3,5,1,10,3,Full Stack Developer
7,7,1,8,8,Frontend Developer
9,7,2,3,10,Backend Developer
1,9,5,4,9,Data Scientist
2,10,1,3,5,Backend Developer
3,2,10,8,10,Full Stack Developer
9,1,10,1,4,ML Engineer
10,9,3,0,2,Full Stack Developer
1,10,7,1,0,Data Scientist
4,6,0,8,3,Full Stack Developer
6,8,4,8,10,Frontend Developer
2,2,3,5,8,Full Stack Developer
3,6,6,8,5,Full Stack Developer
9,7,5,4,1,Data Scientist
5,6,10,10,6,Frontend Developer
7,7,4,2,7,Backend Developer
9,2,3,6,1,Full Stack Developer
5,3,8,3,8,Full Stack Developer
6,10,2,6,7,Backend Developer
6,6,4,4,1,Full Stack Developer
7,0,8,3,4,ML Engineer
0,8,9,5,8,Data Scientist
5,9,2,4,7,Backend Developer
7,4,8,0,9,ML Engineer
5,0,7,10,5,Frontend Developer
4,8,10,0,6,Data Scientist
9,1,4,9,10,Frontend Developer
5,5,10,2,9,Full Stack Developer
5,6,6,4,1,Full Stack Developer
6,9,10,7,4,Data Scientist
8,10,2,4,2,Full Stack Developer
5,9,7,8,8,Data Scientist
3,7,0,3,5,Backend Developer
2,9,10,7,1,Data Scientist
5,8,7,4,1,Data Scientist
1,8,6,3,0,Data Scientist
8,3,8,10,0,ML Engineer
8,1,3,9,8,Frontend Developer
9,0,7,6,9,ML Engineer
4,8,0,7,7,Backend Developer
7,4,5,9,8,Frontend Developer
4,4,4,2,4,Full Stack Developer
6,2,1,1,8,Full Stack Developer
3,5,1,0,5,Full Stack Developer
6,5,3,7,3,Frontend Developer
6,1,10,3,4,Full Stack Developer
9,1,7,7,6,ML Engineer
4,4,6,9,9,Full Stack Developer
2,5,4,0,5,Full Stack Developer
8,2,2,10,6,Frontend Developer
5,3,0,4,2,Full Stack Developer
5,1,6,2,9,Full Stack Developer
5,1,3,8,7,Frontend Developer
8,3,9,3,5,ML Engineer
8,4,8,10,1,ML Engineer
8,2,3,2,1,Full Stack Developer
10,10,4,1,6,Backend Developer
10,4,9,9,4,ML Engineer
10,5,4,0,8,Full Stack Developer
8,9,9,3,10,ML Engineer
4,10,5,7,2,Data Scientist
1,6,5,8,4,Full Stack Developer
8,5,5,4,1,Full Stack Developer
6,7,6,4,8,Data Scientist
1,3,10,1,10,Full Stack Developer
9,10,5,5,7,Data Scientist
9,6,8,2,4,ML Engineer
3,8,2,7,6,Backend Developer
6,0,10,5,9,Full Stack Developer
7,1,9,2,10,ML Engineer
10,3,8,8,0,ML Engineer
9,7,9,3,2,ML Engineer
5,1,0,9,9,Frontend Developer
6,4,7,5,7,Full Stack Developer
3,10,2,10,7,Backend Developer
7,5,1,7,10,Frontend Developer
4,4,6,8,7,Full Stack Developer
4,1,6,6,4,Full Stack Developer
6,5,2,1,10,Full Stack Developer
9,1,1,5,6,Full Stack Developer
2,10,5,10,3,Data Scientist
6,6,2,4,5,Full Stack Developer
7,10,5,7,1,Data Scientist
10,5,1,0,6,Full Stack Developer
9,5,10,8,6,ML Engineer
10,7,7,9,7,ML Engineer
1,0,1,0,1,Full Stack Developer
10,6,1,6,6,Full Stack Developer
3,8,2,1,4,Full Stack Developer
1,7,5,1,4,Data Scientist
6,4,3,6,5,Full Stack Developer
4,9,3,0,5,Backend Developer
5,2,5,10,0,Frontend Developer
6,1,0,7,1,Frontend Developer
7,5,7,4,5,ML Engineer
9,5,5,1,9,Full Stack Developer
1,0,0,6,5,Full Stack Developer
9,6,7,7,5,ML Engineer
7,2,8,5,3,ML Engineer
3,3,1,10,9,Full Stack Developer
0,0,1,9,1,Full Stack Developer
6,4,9,1,6,Full Stack Developer
8,4,6,1,2,Full Stack Developer
8,7,3,6,9,Backend Developer
6,6,1,2,6,Full Stack Developer
10,8,0,8,5,Frontend Developer
0,0,3,0,7,Full Stack Developer
10,10,3,2,9,Backend Developer
8,2,8,9,4,ML Engineer
3,7,4,0,2,Full Stack Developer
0,7,10,1,3,Data Scientist
7,9,0,0,1,Full Stack Developer
5,6,9,6,6,Full Stack Developer
7,0,0,8,3,Frontend Developer
6,4,4,5,4,Full Stack Developer
4,4,1,6,5,Full Stack Developer
4,6,8,1,0,Full Stack Developer
0,0,9,0,7,Full Stack Developer
7,4,4,2,4,Full Stack Developer
2,9,6,9,1,Data Scientist
2,5,3,4,7,Full Stack Developer
